#,Dir,IP,Port,Peer info,Message
61,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search 10.3.12.61:1394 F?T?0?9?TTH:FA4YQDDM3B7DT2KIY3AEOM6UOXUCE6WJDZOKYVY
62,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search 10.3.12.61:1394 F?T?0?9?TTH:FA4YQDDM3B7DT2KIY3AEOM6UOXUCE6WJDZOKYVY
63,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search Hub:sameeerrrr F?T?0?9?TTH:FPIR2WW6UXGRLL64T75VQY66HLWP2FROUJVBC7Y
64,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:sameeerrrr F?T?0?9?TTH:FPIR2WW6UXGRLL64T75VQY66HLWP2FROUJVBC7Y
65,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search 10.4.12.24:55998 F?T?0?1?prey
66,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search 10.3.12.86:1412 F?T?0?9?TTH:7EKKVAZJXKGON7JIAIQGPV6FOLVDY2VRFSCI4UA
67,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search Hub:Terminator__Deathstroke F?T?0?9?TTH:2MV6C3UKLDJXDIKFBDDWJPZZ63PUEEOC2S6BN3A
68,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search 10.3.12.86:1412 F?T?0?9?TTH:7EKKVAZJXKGON7JIAIQGPV6FOLVDY2VRFSCI4UA
69,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:Terminator__Deathstroke F?T?0?9?TTH:2MV6C3UKLDJXDIKFBDDWJPZZ63PUEEOC2S6BN3A
70,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search 10.4.12.24:55998 F?T?0?1?prey
71,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:encyclopedia F?T?0?9?TTH:2V2SD3LW42IDF5UMMQETOWQ7MGK27FQTN2P463A
72,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:BhootMaareChoot F?T?0?9?TTH:VT52GCNBMPIEG2SSOE3VKOYLL3A2EE6QFPLUL7Q
73,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:kRAkEN9 F?T?0?9?TTH:H6SSWE5MKAMF73MXWX67TR6SIIIHUAM4TI5AO6I
74,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search Hub:kRAkEN9 F?T?0?9?TTH:H6SSWE5MKAMF73MXWX67TR6SIIIHUAM4TI5AO6I
75,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search Hub:Raoul F?T?0?9?TTH:ZOH4YJRNAK47KRZ3UNRRTQOJXYM4GPTTYE5BRJI
76,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:aid F?T?0?9?TTH:EI47LPDK66NVDOGDSEY5H4AXYFSN4Q23TIEH4BQ
77,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search Hub:Raoul F?T?0?9?TTH:ZOH4YJRNAK47KRZ3UNRRTQOJXYM4GPTTYE5BRJI
78,In,10.4.5.10,500,Hub <10.4.5.10:500>,$Search Hub:aid F?T?0?9?TTH:EI47LPDK66NVDOGDSEY5H4AXYFSN4Q23TIEH4BQ
79,In,10.4.7.111,500,Hub <10.4.7.111:500>,$Search 10.4.9.127:55387 F?T?0?9?TTH:ALLVJ6ULLEYT4PZWBS3X6ZUQ37KAAMGABFD6J2Y
